Date,Open,High,Low,Close,Adj Close,Volume
2021-01-01,0.132667,0.134722,0.125791,0.128245,0.128245,820754337
2021-01-02,0.128252,0.134757,0.123771,0.129761,0.129761,1030387444
2021-01-03,0.129731,0.152548,0.126802,0.149836,0.149836,1683940430
2021-01-04,0.150012,0.175172,0.142174,0.165620,0.165620,2402695032
2021-01-05,0.165660,0.194453,0.153299,0.189553,0.189553,3006563556
2021-01-06,0.189726,0.254447,0.187959,0.243612,0.243612,4529468826
2021-01-07,0.243885,0.259419,0.208756,0.221075,0.221075,3794776890
2021-01-08,0.221375,0.235517,0.196488,0.225300,0.225300,3362355591
2021-01-09,0.225311,0.249600,0.218704,0.245456,0.245456,2694786760
2021-01-10,0.245447,0.250926,0.209742,0.225538,0.225538,2761316543
2021-01-11,0.225612,0.225612,0.172461,0.203697,0.203697,3526353521
2021-01-12,0.203537,0.231195,0.196659,0.209997,0.209997,2954047176
2021-01-13,0.209766,0.230523,0.199273,0.229790,0.229790,1946808117
2021-01-14,0.229744,0.236518,0.219026,0.226855,0.226855,1963658723
2021-01-15,0.226971,0.240876,0.206710,0.222710,0.222710,2335081841
2021-01-16,0.222697,0.269021,0.222504,0.259369,0.259369,3294079149
2021-01-17,0.259290,0.291157,0.252297,0.279904,0.279904,4139381558
2021-01-18,0.279817,0.291088,0.270387,0.273456,0.273456,2562284911
2021-01-19,0.273477,0.281299,0.267272,0.270544,0.270544,2167544399
2021-01-20,0.270397,0.275202,0.242640,0.274683,0.274683,2401209794
2021-01-21,0.274723,0.277145,0.219488,0.225958,0.225958,2598881824
2021-01-22,0.225845,0.262503,0.206537,0.255509,0.255509,2972038430
2021-01-23,0.255330,0.261089,0.246097,0.252634,0.252634,2032682748
2021-01-24,0.252592,0.269442,0.247600,0.258578,0.258578,1855714496
2021-01-25,0.258556,0.265687,0.249893,0.251441,0.251441,1710815763
2021-01-26,0.251408,0.255891,0.237451,0.250534,0.250534,1861531938
2021-01-27,0.250522,0.250522,0.223558,0.229016,0.229016,1950719910
2021-01-28,0.228973,0.245287,0.224029,0.242850,0.242850,2171282394
2021-01-29,0.256727,0.267526,0.242300,0.253879,0.253879,2455496691
2021-01-30,0.253840,0.271810,0.246103,0.264618,0.264618,2091564147
2021-01-31,0.264610,0.273918,0.247320,0.251798,0.251798,1792808469
2021-02-01,0.251739,0.305270,0.243849,0.293976,0.293976,2806492913
2021-02-02,0.294647,0.331445,0.283927,0.312059,0.312059,4762299282
2021-02-03,0.311848,0.327949,0.304445,0.323367,0.323367,2673163380
2021-02-04,0.323336,0.327481,0.302005,0.322587,0.322587,2598725533
2021-02-05,0.322653,0.405254,0.321396,0.391566,0.391566,4956441730
2021-02-06,0.391481,0.478745,0.380719,0.457093,0.457093,5903547651
2021-02-07,0.457782,0.511440,0.427292,0.482766,0.482766,8190281269
2021-02-08,0.482141,0.523677,0.462078,0.496529,0.496529,6588641644
2021-02-09,0.496262,0.513340,0.486229,0.509219,0.509219,4259715958
2021-02-10,0.509242,0.682448,0.509242,0.672635,0.672635,9158916224
2021-02-11,0.673000,0.704275,0.630415,0.671718,0.671718,7694463221
2021-02-12,0.671250,0.684819,0.631625,0.668598,0.668598,5804681449
2021-02-13,0.668478,0.686281,0.601794,0.654327,0.654327,5441753179
2021-02-14,0.654768,0.660740,0.588933,0.611694,0.611694,5161792233
2021-02-15,0.611266,0.653081,0.516081,0.618765,0.618765,6453387725
2021-02-16,0.618543,0.649472,0.603793,0.627252,0.627252,5004341432
2021-02-17,0.627222,0.646480,0.594842,0.642523,0.642523,4213073833
2021-02-18,0.642487,0.690842,0.642487,0.654475,0.654475,3521129519
2021-02-19,0.654574,0.674410,0.634231,0.662347,0.662347,3272201848
2021-02-20,0.662213,0.851914,0.654243,0.801341,0.801341,8174186925
2021-02-21,0.800360,0.820390,0.770118,0.784533,0.784533,5020323428
2021-02-22,0.784452,0.806654,0.607105,0.781328,0.781328,7508002579
2021-02-23,0.781057,0.805812,0.585504,0.676178,0.676178,7933801767
2021-02-24,0.676354,0.759959,0.639110,0.743405,0.743405,5995362150
2021-02-25,0.743187,0.830169,0.718688,0.770623,0.770623,5890299184
2021-02-26,0.771845,0.924843,0.713928,0.890906,0.890906,10684328382
2021-02-27,0.891653,1.060433,0.886275,0.951426,0.951426,13746487730
2021-02-28,0.950534,0.976059,0.837409,0.936056,0.936056,11258327330
2021-03-01,0.937296,0.962042,0.885404,0.927843,0.927843,7017992973
2021-03-02,0.928720,0.933037,0.851735,0.878277,0.878277,5817703974
2021-03-03,0.878375,0.904474,0.870012,0.873911,0.873911,3546490702
2021-03-04,0.873804,0.882347,0.769327,0.802430,0.802430,5156663333
2021-03-05,0.802265,0.863822,0.749411,0.844594,0.844594,5294493676
2021-03-06,0.843823,0.853410,0.787935,0.817482,0.817482,3865504918
2021-03-07,0.817364,0.825631,0.800975,0.818264,0.818264,3035761475
2021-03-08,0.817955,0.849563,0.801599,0.808887,0.808887,2573493947
2021-03-09,0.808954,0.876065,0.806243,0.860610,0.860610,3829187994
2021-03-10,0.860568,0.867702,0.806543,0.814774,0.814774,3026092015
2021-03-11,0.814351,0.817239,0.794700,0.804133,0.804133,2597630211
2021-03-12,0.804157,0.806285,0.741399,0.746518,0.746518,3035150493
2021-03-13,0.746339,0.849791,0.713406,0.792617,0.792617,4217770611
2021-03-14,0.792379,0.792379,0.760350,0.760350,0.760350,2683560334
2021-03-15,0.759954,0.767564,0.723161,0.743648,0.743648,3270525209
2021-03-16,0.743434,0.905475,0.723078,0.894091,0.894091,6835746763
2021-03-17,0.894524,1.016384,0.867813,0.986499,0.986499,7188689667
2021-03-18,0.986315,1.053677,0.888683,0.889889,0.889889,8182653488
2021-03-19,0.889568,0.968218,0.859426,0.938642,0.938642,5745211065
2021-03-20,0.938139,0.946845,0.869893,0.869893,0.869893,3112474917
2021-03-21,0.869814,0.897103,0.839759,0.859607,0.859607,2937849631
2021-03-22,0.859653,0.872410,0.785869,0.800804,0.800804,2928005132
2021-03-23,0.800421,0.851316,0.786208,0.816766,0.816766,3356782773
2021-03-24,0.816615,0.848218,0.771891,0.785392,0.785392,2746520423
2021-03-25,0.785001,0.839260,0.770709,0.801203,0.801203,4169540501
2021-03-26,0.801095,0.928607,0.799299,0.880738,0.880738,4589383912
2021-03-27,0.880820,0.896438,0.843412,0.853149,0.853149,2252826433
2021-03-28,0.853325,0.884333,0.847868,0.863805,0.863805,1738315732
2021-03-29,0.863698,0.888070,0.857482,0.873045,0.873045,1854637499
2021-03-30,0.873060,0.896646,0.865141,0.882677,0.882677,1831402462
2021-03-31,0.882938,0.882938,0.849143,0.865575,0.865575,2314311356
2021-04-01,0.865784,0.876325,0.856311,0.859645,0.859645,1669631242
2021-04-02,0.859619,0.900329,0.858110,0.865124,0.865124,2103342352
2021-04-03,0.864992,0.899594,0.847139,0.848326,0.848326,2426052347
2021-04-04,0.848106,0.867466,0.843266,0.861437,0.861437,1566709848
